HOSPITAL NAME,Address,CITY
Sawan Neelu Angles Nursing Home,"J 293, Saket",New Delhi
Jeewan Jyoti Hospital,"562,Sector-15",Faridabad
Goyal Hospital And Urology Centre,"E-4/8, Lajpat Rai Chowk",New Delhi
Swasthik Hospital,"14, Gopal Nagar,Opposite Ashok Nagar,Tilak Nagar",New Delhi
Hemraj Jain Hospital And Maternity Home,"1, Block, C - 1,Janakpuri",New Delhi
Kapoor Medical Centre,"E 18, Naraina Vihar",New Delhi
Bhatia Nursing Home,"Punjabi Mohalla,Near Gupta Hotel,Mohna Road,Ballabhgarh",Ballabgarh
Gupta Nursing Home,"160,Sector - 16 A",Faridabad
Kesar Hospital,"Ah -11, Shalimar Bagh",New Delhi
Aar Pee Hospitals,"1276, Sector-28",Faridabad
Rlkc Hospital - Metro Heart Institute,"Naraina Road, Near - Shadipur Metro Station",New Delhi
Eden Hospital Pvt Ltd.,"B-162, East Of Kailash",New Delhi
Surya Ortho & Trauma Centre,"5R/5/1, Nit",Faridabad
Shubham Hospital,"Dd-15, Kalkaji",New Delhi
Nazar Kanwar Surana Hospital,"219/220, N K Surana Marg, Gulabi Bagh, Malka Ganj",New Delhi
Bajaj Eye Care Centre,"101, Vikas Surya Plaza, 7 D.D.A. Community Centre Road No.44, Pitampura",New Delhi
Ram Lal Kundan Lal Orthopaedic Hospital And R.K. Maternity Home,"Plot No. - 8, Patparhganj Road, Opposite Mother Dairy Pandav Nagar",New Delhi
Jain Hospital,"177-178, Jagriti Enclave",New Delhi
Netrayatan (Dr. Grover S Eye Care And Microsurgery Centre),"S-371, Greater Kailash-Ii",New Delhi
Mohan Eye Institute,"11 B, Ganga Ram Hospital Marg",New Delhi
National Institute Of Medical Sciences,Sector -23A,Faridabad
Panchsheel Hospital Pvt. Ltd,"C-3/64A, Yamuna Vihar",New Delhi
Navjeevan Hospital,"A-12, Pushpanjali Enclave, Pitampura",New Delhi
Lohan Children Hospital,"5C-14,B.P.,Nit",Faridabad
Ganesh Orthotrauma & Medical Centre,"F.15/7, Hansraj Marg, Krishna Nagar Colony",New Delhi
Vardaan Hospital,"3E - I, Nit",Faridabad
Mamta Hospital,"877, Mata Mandir Road",Gurugram
Bhatia Global Hospital (Bhatia Endosurgery Pvt. Ltd.),"307 & 308, Ambika Vihar",New Delhi
Aarogya Hospital,"32, Chitra Vihar",New Delhi
Ayushman Hospital & Trauma Centre,37 Mile Stone Hero Honda Chowk,Gurugram
Tirath Ram Hospitals Pvt. Ltd.,"163/20, Basai Road",Gurugram
Uma Sanjeevani Health Centre Pvt Ltd,"1,Dakshin Marg,Dlf City,Phase Ii",Gurugram
Khanna Hospital,"C2/396,Janakpuri",New Delhi
Sonia Hospital,"1,Gulsan Park,Main Rohtak Road,Nangloi",New Delhi
Bhardwaj Hospital,"Nh-1,Sec-29",Noida
Monga Medical Centre,"J-10, Krishna Nagar",New Delhi
Shree Jeewan Hospital,"67/1, New Rohtak Road,Karol Bagh",New Delhi
Metro Hospital And Cancer Institute,"21, Community Centre, Preet Vihar",New Delhi
Chandra Laxmi Hospital Limited,"Sector - 4,Plot No.- 337, Vaishali",Ghaziabad
